house_score,value_tier,price_value,predicted_price,pricing_gap_pct,investment_opportunity_score,undervalued_flag,beds,baths,lot_size_sqft,latitude,longitude,luxury_score,amenities_score
8.94,Budget,92000,161262.52957801806,0.7528535823697615,11.16385906522975,1,1,1.0,6534.0,39.3436183,-76.6452903,0,1
29.37,Premium,698000,1219101.0790613235,0.7465631505176555,11.07057459794976,1,2,2.0,6534.0,21.2881301,-157.8354151,1,1
6.94,Budget,84000,145576.51516375833,0.733053751949504,10.870235880619694,1,4,2.0,7980.0,40.3906598,-79.9817985,0,0
15.34,Mid-Range,350000,604990.2098680267,0.7285434567657905,10.803350093859702,1,6,3.0,758989440.0,37.9677775,-84.4832341,0,1
19.57,Premium,325000,560415.6983490265,0.7243559949200815,10.741251790163515,1,1,1.0,6534.0,21.2829043,-157.8280153,0,4
18.85,Mid-Range,475000,819044.7903137269,0.7243048217131092,10.740492912957045,1,2,2.0,6534.0,21.305235,-157.8337729,0,1
23.68,Premium,349000,599690.4839390017,0.7183108422320965,10.651604710061044,1,1,1.0,1168845480.0,21.2888107,-157.8376768,1,3
14.43,Mid-Range,219900,377627.8731699466,0.717270910277156,10.636182955131517,1,6,2.0,2500.0,40.4361114,-80.0480024,0,3
24.58,Premium,375000,643870.6159143099,0.7169883091048262,10.631992098218465,1,6,5.0,5227.0,44.9544253,-93.1749445,0,1
20.22,Premium,469000,802666.9931041651,0.711443482098433,10.54976463822652,1,2,2.0,2708778600.0,34.2014834,-118.547715,0,3
16.33,Mid-Range,275000,469951.8320873515,0.7089157530449145,10.512279476042197,1,4,3.0,7150.0,37.982279,-84.5477404,0,3
9.35,Budget,112000,190795.5971951229,0.7035321178135971,10.432442422499506,1,3,1.5,1306.0,39.3006149,-76.5797985,0,1
23.64,Premium,619900,1051528.190808758,0.6962868056279367,10.324997480179642,1,3,2.0,5482.0,33.9830114,-118.2883801,0,3
10.38,Budget,100000,169560.6329579648,0.6956063295796479,10.314906305653976,1,2,1.5,5227.0,41.4470223,-81.5831347,0,2
